aluminum	aluminium
analog	analogue
analyze	analyse
analyzed	analysed
analyzing	analysing
apologize	apologise
apologized	apologised
apologizing	apologising
armor	armour
armored	armoured
armory	armoury
authorization	authorisation
authorize	authorise
authorized	authorised
baptize	baptise
baptized	baptised
behavior	behaviour
behavioral	behavioural
behaviors	behaviours
caliber	calibre
canceling	cancelling
catalog	catalogue
catalogs	catalogues
center	centre
centers	centres
civilization	civilisation
civilizations	civilisations
civilized	civilised
clamor	clamour
clamoring	clamouring
color	colour
colored	coloured
colorful	colourful
coloring	colouring
colors	colours
counseling	counselling
criticize	criticise
criticized	criticised
criticizing	criticising
defense	defence
defenseless	defenceless
defenses	defences
demeanor	demeanour
emphasize	emphasise
endeavor	endeavour
endeavors	endeavours
favor	favour
favorable	favourable
favored	favoured
favorite	favourite
favorites	favourites
favors	favours
fertilizer	fertiliser
fiber	fibre
fibers	fibres
finalized	finalised
flavor	flavour
flavored	flavoured
flavors	flavours
fossilized	fossilised
fueled	fuelled
gray	grey
grueling	gruelling
harbor	harbour
harboring	harbouring
harbors	harbours
honor	honour
honorable	honourable
honored	honoured
honoring	honouring
honors	honours
hospitalized	hospitalised
humor	humour
hypnotized	hypnotised
jeopardize	jeopardise
jeweler	jeweller
jewelers	jewellers
jewelry	jewellery
labeled	labelled
labor	labour
labored	laboured
laborer	labourer
laborers	labourers
labors	labours
leveled	levelled
liter	litre
liters	litres
maneuver	manoeuvre
maneuvers	manoeuvres
marvelous	marvellous
memorize	memorise
memorized	memorised
minimize	minimise
mobilize	mobilise
modeled	modelled
modeling	modelling
mold	mould
molded	moulded
molds	moulds
moldy	mouldy
mustache	moustache
neighbor	neighbour
neighborhood	neighbourhood
neighborhoods	neighbourhoods
neighboring	neighbouring
neighbors	neighbours
neutralize	neutralise
odor	odour
offense	offence
offenses	offences
organization	organisation
organizations	organisations
organize	organise
organized	organised
organizing	organising
pajamas	pyjamas
paralyzed	paralysed
parlor	parlour
patronize	patronise
patronizing	patronising
plow	plough
plowed	ploughed
plowing	ploughing
pretense	pretence
quarreled	quarrelled
quarreling	quarrelling
realization	realisation
realize	realise
realized	realised
realizes	realises
realizing	realising
recognize	recognise
recognized	recognised
recognizes	recognises
recognizing	recognising
rumor	rumour
rumored	rumoured
rumors	rumours
saber	sabre
savior	saviour
savor	savour
savory	savoury
skeptical	sceptical
sniveling	snivelling
socialize	socialise
somber	sombre
specialize	specialise
specialized	specialised
specializes	specialises
specter	spectre
splendor	splendour
stabilize	stabilise
stabilized	stabilised
sulfur	sulphur
sympathize	sympathise
tantalizing	tantalising
theater	theatre
theaters	theatres
traumatized	traumatised
traveled	travelled
traveler	traveller
travelers	travellers
traveling	travelling
tumor	tumour
tumors	tumours
unauthorized	unauthorised
valor	valour
vapor	vapour
visualize	visualise
